product_fullName,product_url,text,cleaned_text,review_rating,review_date
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,Delightful Seems to be performing as expected. Loved it.,"['delightful', 'seems', 'performing', 'expected', 'loved']",positive,"Aug, 2022"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,"Fabulous! Okay so, at first i was worried as hell, if its gonna work or not considering its a second hand cpu but i got lucky and its working normal till now i hope it will work good for coming years.","['fabulous', 'okay', 'first', 'worried', 'hell', 'gon', 'na', 'work', 'considering', 'second', 'hand', 'cpu', 'got', 'lucky', 'working', 'normal', 'till', 'hope', 'work', 'good', 'coming', 'years']",positive,"Sep, 2022"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,"Terrific Pacaging was not good and obviously its used product but its working fine, its ultimate upgrade for H61 B75 Z77 motherboards with upgraded bios","['terrific', 'pacaging', 'good', 'obviously', 'used', 'product', 'working', 'fine', 'ultimate', 'upgrade', 'h61', 'b75', 'z77', 'motherboards', 'upgraded', 'bios']",positive,"Oct, 2022"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,"Terrific purchase Processor is very good, its like new processor. but packing avreg","['terrific', 'purchase', 'processor', 'good', 'like', 'new', 'processor', 'packing', 'avreg']",positive,"Aug, 2022"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,Brilliant Good mast candishen power full processor thank you Flipkart and seller ????,"['brilliant', 'good', 'mast', 'candishen', 'power', 'full', 'processor', 'thank', 'flipkart', 'seller']",positive,"May, 2023"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,Must buy! Good,"['must', 'buy', 'good']",positive,"Feb, 2023"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,Excellent Very good,"['excellent', 'good']",positive,"Oct, 2022"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,"Nice product Working ram, can play pubg, gta 5 etc. Easily.Though it gets heated to 105c temperature without thermal paste, the seller should include thermal paste, please get thermal paste also its like 160rs online. After thermal paste it is below 80","['nice', 'product', 'working', 'ram', 'play', 'pubg', 'gta', 'etc', 'easily.though', 'gets', 'heated', '105c', 'temperature', 'without', 'thermal', 'paste', 'seller', 'include', 'thermal', 'paste', 'please', 'get', 'thermal', 'paste', 'also', 'like', '160rs', 'online', 'thermal', 'paste']",positive,"Mar, 2023"
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,Fabulous! very good cpu,"['fabulous', 'good', 'cpu']",positive,4 months ago
intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor,https://www.flipkart.com/intel-i7-3770-3-9-ghz-lga-1155-socket-4-cores-desktop-processor/product-reviews/itmfa5j4jcma4px6?page=1,Perfect product! Good product thank you Flipkart and manufacturer and sellers cash on delivery is very useful for me,"['perfect', 'product', 'good', 'product', 'thank', 'flipkart', 'manufacturer', 'sellers', 'cash', 'delivery', 'useful']",positive,"Sep, 2022"
