product_id,product_url,product_name,product_fullName,review_date,year,text,cleaned_text,review_rating,category
1333512,https://cpu.userbenchmark.com/SpeedTest/1333512/11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,11th-Gen-IntelR-CoreTM-i3-1115G4-300GHz,3 years ago.,2021,"Average 2C 4T mobile CPU. Base clock of 1.7Ghz, turbo up to 4.1Ghz. Able to handle all of the daily task.","['average', '2c', '4t', 'mobile', 'cpu', 'base', 'clock', '1.7ghz', 'turbo', '4.1ghz', 'able', 'handle', 'daily', 'task']",positive,1
1504890,https://cpu.userbenchmark.com/SpeedTest/1504890/11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,11th-Gen-IntelR-CoreTM-i5-11300H-310GHz,3 years ago.,2021,"Average Supersede of i5-9300H and i5-10300H. Performance wise, 8% improved from 10300H with a base clock of 3.10Ghz and turbo up to 4.4Ghz. 4C 8T still is very good enough for everyday tasking and most of the games. Recommended for low-end gaming laptop under $1200.","['average', 'supersede', 'i5-9300h', 'i5-10300h', 'performance', 'wise', 'improved', '10300h', 'base', 'clock', '3.10ghz', 'turbo', '4.4ghz', '4c', '8t', 'still', 'good', 'enough', 'everyday', 'tasking', 'games', 'recommended', 'low-end', 'gaming', 'laptop']",negative,0
1496869,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,11th-Gen-IntelR-CoreTM-i5-11500---270GHz,11th-Gen-IntelR-CoreTM-i5-11500-270GHz,3 years ago.,2021,"Good This processor is a value winner for mid- and high-range gaming/borwsing/multitasking, etc. Game Over for AMD in this range, until Zen4.","['good', 'processor', 'value', 'winner', 'mid-', 'high-range', 'gaming/borwsing/multitasking', 'etc', 'game', 'amd', 'range', 'zen4']",positive,1
1496869,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,11th-Gen-IntelR-CoreTM-i5-11500---270GHz,11th-Gen-IntelR-CoreTM-i5-11500-270GHz,3 years ago.,2021,Excellent Fantastic value in my opinion. Also with the insane GPU shortages it's nice to see a decent integrated GPU.,"['excellent', 'fantastic', 'value', 'opinion', 'also', 'insane', 'gpu', 'shortages', ""'s"", 'nice', 'see', 'decent', 'integrated', 'gpu']",positive,1
1496869,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,11th-Gen-IntelR-CoreTM-i5-11500---270GHz,11th-Gen-IntelR-CoreTM-i5-11500-270GHz,3 years ago.,2021,Excellent Price- but don't bother with the stock intel cooler its way too noisy and you will need an alterative cooler,"['excellent', 'price-', ""n't"", 'bother', 'stock', 'intel', 'cooler', 'way', 'noisy', 'need', 'alterative', 'cooler']",positive,1
1195374,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,11th-Gen-IntelR-CoreTM-i7-1165G7-280GHz,3 years ago.,2021,"Good 4C 8T laptop CPU with TDP up to 28W. Base clock of 2.8Ghz, turbo up to 4.7Ghz. Even with the TDP 28W, this CPU have comparable single core performance of 65W 10th gen CPU.","['good', '4c', '8t', 'laptop', 'cpu', 'tdp', '28w', 'base', 'clock', '2.8ghz', 'turbo', '4.7ghz', 'even', 'tdp', '28w', 'cpu', 'comparable', 'single', 'core', 'performance', '65w', '10th', 'gen', 'cpu']",positive,1
1195374,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,11th-Gen-IntelR-CoreTM-i7-1165G7-280GHz,3 years ago.,2021,"Excellent This thing has an insane single core performance, more than anything available on desktop, including overclocks pushing current cpus to the limit. Imagine what this could do at 5.2ghz on a desktop.","['excellent', 'thing', 'insane', 'single', 'core', 'performance', 'anything', 'available', 'desktop', 'including', 'overclocks', 'pushing', 'current', 'cpus', 'limit', 'imagine', 'could', '5.2ghz', 'desktop']",negative,0
1268967,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,11th-Gen-IntelR-CoreTM-i7-1185G7-300GHz,3 years ago.,2021,"Excellent This modern 4C 8T mobile CPU have incredibly fast single core speed with minimum 12W TDP,15W TDP and up to 28W TDP. Base clock of 3.0Ghz, turbo up to 4.8Ghz.","['excellent', 'modern', '4c', '8t', 'mobile', 'cpu', 'incredibly', 'fast', 'single', 'core', 'speed', 'minimum', '12w', 'tdp,15w', 'tdp', '28w', 'tdp', 'base', 'clock', '3.0ghz', 'turbo', '4.8ghz']",positive,1
1542191,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,11th-Gen-IntelR-CoreTM-i7-11800H-230GHz,3 years ago.,2021,"Excellent Base clock of 2.3Ghz, turbo up to 4.6ghz. 8C 16T system for faster multi-tasking performance. Single and multi-core is about 25% improved from 10th gen H45 series. iGPU with UHD 32EU have batter 4k performance Biggest improvement is 6C 12T become 8C 16T.","['excellent', 'base', 'clock', '2.3ghz', 'turbo', '4.6ghz', '8c', '16t', 'system', 'faster', 'multi-tasking', 'performance', 'single', 'multi-core', 'improved', '10th', 'gen', 'h45', 'series', 'igpu', 'uhd', '32eu', 'batter', '4k', 'performance', 'biggest', 'improvement', '6c', '12t', 'become', '8c', '16t']",positive,1
1557007,https://cpu.userbenchmark.com/SpeedTest/1557007/11th-Gen-IntelR-CoreTM-i7-11850H---250GHz,11th-Gen-IntelR-CoreTM-i7-11850H---250GHz,11th-Gen-IntelR-CoreTM-i7-11850H-250GHz,3 years ago.,2021,"Excellent Supersede of 10th gen 6C12T i7-10750H and i7-10850H. Almost 35% faster and over 40% improvement from i7-10850. Base clock of 2.5Ghz, up to 4.8Gh while i7-10850 have 2.7Ghz as base clock and 5.1Ghz as turbo clock, but 11850 have upper hand due to 8C 18T compare to 6C 12T 10850H. iGPU also comes with new 11th gen 32EU UHD. Will top the laptop CPU with i9-11980HK.","['excellent', 'supersede', '10th', 'gen', '6c12t', 'i7-10750h', 'i7-10850h', 'almost', 'faster', 'improvement', 'i7-10850', 'base', 'clock', '2.5ghz', '4.8gh', 'i7-10850', '2.7ghz', 'base', 'clock', '5.1ghz', 'turbo', 'clock', 'upper', 'hand', 'due', '8c', '18t', 'compare', '6c', '12t', '10850h', 'igpu', 'also', 'comes', 'new', '11th', 'gen', '32eu', 'uhd', 'top', 'laptop', 'cpu', 'i9-11980hk']",positive,1
